1561
1;1001;El Hierro Oeste;Fruta;1;1;1;1;1;5;Santa Cruz de Tenerife
2;1002;Valverde;Pescado;1;1;1;1;3;7;Santa Cruz de Tenerife
3;1003;Aridane;Hostelería;2;2;1;4;4;13;Santa Cruz de Tenerife
4;1004;Norte de La Palma;Fruta;1;1;1;3;2;8;Santa Cruz de Tenerife
5;1005;Roque de los Muchachos;Viña;1;1;1;1;1;5;Santa Cruz de Tenerife
6;1006;Cumbre Vieja;Fruta;1;1;1;1;1;5;Santa Cruz de Tenerife
7;1007;Breñas;Fruta;1;1;1;2;1;6;Santa Cruz de Tenerife
8;1008;Santa Cruz de La Palma;Oficinistas;2;2;1;2;3;10;Santa Cruz de Tenerife
9;1009;Vallehermoso;Fruta;1;1;1;1;1;5;Santa Cruz de Tenerife
10;1010;Valle Gran Rey;Turismo;1;1;1;1;1;5;Santa Cruz de Tenerife
11;1011;San Sebastián de la Gomera;Fruta;2;1;1;2;1;7;Santa Cruz de Tenerife
12;1012;Buenavista del Norte;Fruta;1;1;1;2;1;6;Santa Cruz de Tenerife
13;1013;Santiago del Teide;Fruta;1;1;1;1;1;5;Santa Cruz de Tenerife
14;1014;Guía de Isora;Agua;2;2;1;3;3;11;Santa Cruz de Tenerife
15;1015;Adeje;Turismo;4;5;1;4;6;20;Santa Cruz de Tenerife
16;1016;Los Cristianos;Turismo;8;13;1;8;10;40;Santa Cruz de Tenerife
17;1017;Arona;Fruta;3;2;1;8;6;20;Santa Cruz de Tenerife
18;1018;San Miguel de Abona;Hostelería;3;3;1;3;5;15;Santa Cruz de Tenerife
19;1019;El Médano;Energía;1;2;1;1;1;6;Santa Cruz de Tenerife
20;1020;San Isidro;Hortalizas;3;2;1;5;6;17;Santa Cruz de Tenerife
21;1021;Granadilla de Abona;Fruta;2;1;1;2;3;9;Santa Cruz de Tenerife
22;1022;Teide;Viña;1;1;1;1;1;5;Santa Cruz de Tenerife
23;1023;Icod de los Vinos;Turismo;2;2;1;2;3;10;Santa Cruz de Tenerife
24;1024;Los Realejos;Patata;4;5;1;5;6;21;Santa Cruz de Tenerife
25;1025;La Orotava;Turismo;5;5;1;6;6;23;Santa Cruz de Tenerife
26;1026;Puerto de La Cruz;Turismo;2;4;1;3;3;13;Santa Cruz de Tenerife
27;1027;Banda Oriental;Turismo;2;2;1;5;6;16;Santa Cruz de Tenerife
28;1028;Candelaria;Turismo;2;2;1;3;4;12;Santa Cruz de Tenerife
29;1029;Las Lagunetas;Agua;1;1;1;1;1;5;Santa Cruz de Tenerife
30;1030;Acentejo;Viña;4;3;1;6;5;19;Santa Cruz de Tenerife
31;1031;El Rosario;Turismo;2;2;1;2;2;9;Santa Cruz de Tenerife
32;1032;Tegueste;Operarios;2;2;1;3;5;13;Santa Cruz de Tenerife
33;1033;Ciudad Colonial;Oficinistas;7;7;1;6;24;45;Santa Cruz de Tenerife
34;1034;Taco;Transportistas;7;5;;8;7;27;Santa Cruz de Tenerife
35;1035;La Cuesta;Empleados;4;6;;6;10;26;Santa Cruz de Tenerife
36;1036;Distrito Suroeste;Operarios;7;6;1;12;14;40;Santa Cruz de Tenerife
37;1037;Ofra;Dependientes;8;8;1;14;16;47;Santa Cruz de Tenerife
38;1038;La Salud;Transportistas;8;9;;12;15;44;Santa Cruz de Tenerife
39;1039;La Salle;Oficinistas;9;9;;9;15;42;Santa Cruz de Tenerife
40;1040;Ifara;Hosteleria;8;10;;6;11;35;Santa Cruz de Tenerife
41;1041;Puerto de Tenerife ;Estibadores;1;1;1;2;1;6;Santa Cruz de Tenerife
1;2001;Terminales;Energía;1;1;1;1;1;5;Las Palmas de Gran Canaria
2;2002;Puerto de Las Palmas;Estibadores;2;2;;3;2;9;Las Palmas de Gran Canaria
3;2003;Gran Guanarteme;Hostelería;6;9;;10;12;37;Las Palmas de Gran Canaria
4;2004;Ciudad Alta;Oficinistas;16;17;;14;25;72;Las Palmas de Gran Canaria
5;2005;Arenales;Hostelería;9;15;;7;12;43;Las Palmas de Gran Canaria
6;2006;Siete Palmas;Audiovisual;4;5;;5;6;20;Las Palmas de Gran Canaria
7;2007;Tamaraceite;Transportistas;8;10;1;15;22;56;Las Palmas de Gran Canaria
8;2008;Vegueta;Taxistas;9;9;1;14;18;51;Las Palmas de Gran Canaria
9;2009;Telde;Hostelería;10;10;1;15;18;54;Las Palmas de Gran Canaria
10;2010;Ingenio;Hortalizas;2;2;1;3;3;11;Las Palmas de Gran Canaria
11;2011;Carrizales;Estibadores;2;2;1;4;5;14;Las Palmas de Gran Canaria
